2,1,-1.17565836076979
2,2,-2.21301552511603
2,3,-1.45610352163566
3,1,1.22419822405736
3,2,-1.37330163929444
3,3,-1.42563896178277
4,1,-2.45066209921837
4,2,-1.2361332950152
4,3,-2.15220959810615
5,1,-0.791189299035538
5,2,-0.164091070638737
5,3,-0.19287106339559
6,1,-0.985626202195045
6,2,-0.172643992018607
6,3,-0.391093056134135
7,1,-2.96797638248995
7,2,-3.28316858187336
7,3,-2.88398132742951
8,1,2.16836257502162
8,2,2.68080220654321
8,3,2.57218740629645
9,1,15.67513327806
9,2,20.20882569298
9,3,-14.5181985957708
10,1,1.24093725409219
10,2,1.2098422377951
10,3,1.46106723132413
11,1,-3.2574411493063
11,2,-3.07799442539215
11,3,-1.88377863848321
12,1,-1.08589347324893
12,2,-0.763953375923104
12,3,-0.29064714463019
13,1,-0.0031961713826202
13,2,-1.10263952230904
13,3,-1.43999948840104
